Combo Appetizer,Boneless Buffalo Wings (tossed in your choice of Mild or Hot sauce) along with Rattlesnake Bites and Tater Skins. Substitute Fried Pickles at no additional charge. Served with your choice of two dipping sauces.,1,starter,1270,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/combo-appetizer.jpg,0,1,Texas Roadhouse
Texas Red Chili,"Made-from-scratch recipe, topped with cheddar cheese and red onions.",1,starter,310,2.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/texas-red-chili.jpg,0,1,Texas Roadhouse
Killer Ribs,Basket of our award-winning ribs with steak fries.,1,starter,720,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/killer-ribs.jpg,0,1,Texas Roadhouse
Boneless Buffalo Wings,Hand-breaded all white meat chicken tossed in your choice of Mild or Hot sauce and served with celery and Bleu Cheese dressing.,1,starter,960,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/boneless-buffalo-wings.jpg,0,1,Texas Roadhouse
Tater Skins,"Topped with cheddar cheese, bacon and sour cream",1,starter,1290,6.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/tater-skins.jpg,0,1,Texas Roadhouse
Fried Pickles,"Basket of pickle chips hand-battered, golden-fried and served with Ranch or Cajun Horseradish sauce for dipping.",1,starter,670,4.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/fried-pickles.jpg,0,1,Texas Roadhouse
Rattlesnake Bites,"Diced jalapenos and jack cheese, hand-battered, lightly-fried and served with Cajun Horseradish sauce for dipping.",1,starter,1040,5.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/rattlesnake-bites.jpg,0,1,Texas Roadhouse
Cheese Fries,A heaping amount of golden brown steak fries topped with melted cheddar cheese and bacon. Add chili for just 79 cents.,1,starter,1210,6.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/cheese-fries.jpg,0,1,Texas Roadhouse
Grilled Shrimp,Seasoned shrimp drizzled with garlic lemon pepper butter and served on toasted fresh-baked bread.,1,starter,590,5.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/grilled-shrimp.jpg,0,1,Texas Roadhouse
Cactus Blossom,"Texas-sized onion, golden-fried and served with Cajun Horseradish sauce for dipping.",1,starter,1720,5.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/cactus-blossom.jpg,0,1,Texas Roadhouse
Caesar Salad,"Crisp hearts of romaine, fresh Parmesan cheese and made-from-scratch croutons tossed with our zesty Caesar dressing.",1,salad,440,3.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/caesar-salad.jpg,0,1,Texas Roadhouse
Chicken Caesar Salad,"Tender strips of grilled chicken tossed with crisp hearts of romaine, fresh Parmesan cheese, made-from-scratch croutons and our zesty Caesar dressing.",1,salad,1140,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/chicken-caesar-salad.jpg,0,1,Texas Roadhouse
Grilled Chicken Salad,"Crisp cold greens, strips of marinated chicken, jack cheese, egg, tomato, bacon, red onions and croutons.",1,salad,790,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/grilled-chicken-salad.jpg,0,1,Texas Roadhouse
Chicken Critter Salad,"Hot, crispy strips of chicken piled high on a bed of cold greens with jack and cheddar cheeses, egg, tomato and bacon.",1,salad,920,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/chicken-critter-salad.jpg,0,1,Texas Roadhouse
Steakhouse Filet Salad,"Salad greens drizzled with Italian dressing, topped with tender filet strips, Bleu Cheese crumbles, bacon bits, red onions, tomatoes and croutons, and served with a side of creamy Bleu Cheese.",1,salad,910,13.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/steakhouse-filet-salad.jpg,0,1,Texas Roadhouse
House Salad,"Fresh greens, cheddar cheese, tomato, eggs, and made-from-scratch croutons. ",1,salad,230,3.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/house-salad.jpg,0,1,Texas Roadhouse
Ft. Worth Ribeye,Very juicy and flavorful due to the marbling throughout the steak. Served with your choice of two sides.,1,steak,800,15.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/ft-worth-ribeye.jpg,0,1,Texas Roadhouse
Dallas Filet,Our most tender steak that is lean and melts in your mouth. Served with your choice of two sides.,1,steak,270,17.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/dallas-filet.jpg,0,1,Texas Roadhouse
Usda Choice Sirloin,"Most popular because they are hearty, flavorful and a great value. Served with your choice of two sides.",1,steak,250,10.49,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/usda-choice-sirloin.jpg,0,1,Texas Roadhouse
New York Strip,This generous 12 oz. cut is aged longer for extra tenderness and flavor. Served with your choice of two sides. Also available in 8 oz. Thick Cut.,1,steak,1060,13.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/new-york-strip.jpg,0,1,Texas Roadhouse
Bone-In Ribeye,"20oz. cut of our juicy, flavorful ribeye served on the bone for extra flavor. Served with your choice of two sides.",1,steak,1110,24.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/bone-in-ribeye.jpg,0,1,Texas Roadhouse
Porterhouse T-Bone,Filet and New York Strip come together for one 23 oz. Texas-sized USDA Choice steak. Served with your choice of two sides.,1,steak,1040,26.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/porterhouse-tbone.jpg,0,1,Texas Roadhouse
Steak Kabob,"Marinated steak with onion, mushroom, tomato, red pepper and green pepper served on a bed of seasoned rice with your choice of one side.",1,steak,1000,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/steak-kabob.jpg,0,1,Texas Roadhouse
Road Kill,"A 10 oz. chop steak smothered with saut_ed onions, saut_ed mushrooms and jack cheese. Served with your choice of two sides.",1,steak,850,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/road-kill.jpg,0,1,Texas Roadhouse
Filet Medallions,Three (9 oz. total) tender filets topped with choice of Peppercorn or Portabella Mushroom sauce and served over seasoned rice.,1,steak,830,19.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/filet-medallions.jpg,0,1,Texas Roadhouse
Prime Rib,Our flavorful ribeye steak slow-cooked to perfection. Served with your choice of two sides.,1,steak,1020,16.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/prime-rib-12oz.jpg,0,1,Texas Roadhouse
Ribs,Our award-winning ribs are slow-cooked with a unique blend of seasonings and our signature BBQ sauce. Served with your choice of two sides.,1,rib,730,13.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/ribs/full-slab.jpg,0,1,Texas Roadhouse
Grilled Bbq Chicken Combos,Each combo is served with your choice of two sides.,1,combo,550,18.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/grilled-bbq-chicken-6oz-sirloin.jpg,0,1,Texas Roadhouse
Bbq Roasted Half Chicken Combos,Each combo is served with your choice of two sides.,1,combo,900,18.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/bbq-roasted-chicken-6oz-sirloin.jpg,0,1,Texas Roadhouse
Ft. Worth Ribeye Combos,Each combo is served with your choice of two sides.,1,combo,1390,20.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/10oz-ribeye-ribs.jpg,0,1,Texas Roadhouse
Usda Choice Sirloin Combos,Each combo is served with your choice of two sides.,1,combo,840,15.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/sirloin-grilled-shrimp.jpg,0,1,Texas Roadhouse
Dallas Filet Combos,Each combo is served with your choice of two sides.,1,combo,860,22.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/6oz-filet-grilled-shrimp.jpg,0,1,Texas Roadhouse
Portobello Mushroom Chicken,"Grilled, marinated chicken breast with Portobello Mushroom sauce, jack cheese and fresh Parmesan cheese. Served with your choice of two sides. Not available at all locations.",1,chicken,470,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/portobello-mushroom-chicken.jpg,0,1,Texas Roadhouse
Smothered Chicken,"Grilled, marinated chicken breast with saut_ed onions, saut_ed mushrooms and choice of cream gravy or jack cheese. Served with your choice of two sides.",1,chicken,410,11.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/smothered-chicken.jpg,0,1,Texas Roadhouse
Bbq Roasted Half Chicken,"A half chicken trimmed, uniquely seasoned, slow-roasted to the perfect tenderness while basted with our signature BBQ sauce. Served with your choice of two sides.",1,chicken,650,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/bbq-roasted-half-chicken.jpg,0,1,Texas Roadhouse
Oven Roasted Half Chicken,"Half chicken trimmed, uniquely seasoned and slow-roasted to the perfect tenderness. erved with your choice of two sides.",1,chicken,540,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/roasted-half-chicken.jpg,0,1,Texas Roadhouse
Grilled Bbq Chicken,Marinated 1/2 lb. breast basted in our BBQ sauce. Served with your choice of two sides.,1,chicken,300,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/grilled-bbq-chicken.jpg,0,1,Texas Roadhouse
Country Fried Chicken,"Tender, all white meat chicken breast, hand-battered, golden-fried and topped with made-from-scratch cream gravy. Served with your choice of two sides.",1,chicken,830,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/country-fried-chicken.jpg,0,1,Texas Roadhouse
Chicken Critters,"All white meat chicken strips, hand-dipped in signature batter and fried to a crispy golden brown. Served with your choice of two sides.",1,chicken,840,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/chicken-critters.jpg,0,1,Texas Roadhouse
Country Veg Plate,"Choose a total of 4 side items - one salad only, please. ",1,dinner,570,9.49,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/country-veg-plate.jpg,0,1,Texas Roadhouse
Country Fried Sirloin,"Hand-battered, fresh-cut sirloin served crispy and golden, topped with made-from-scratch cream gravy. Served with your choice of two sides.",1,dinner,870,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/country-fried-sirloin.jpg,0,1,Texas Roadhouse
Pulled Pork Dinner,"Tender, slow-cooked pork covered in our signature BBQ sauce and served with toasted fresh-baked bread. Served with your choice of two sides.",1,dinner,870,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/pulled-pork-dinner.jpg,0,1,Texas Roadhouse
Grilled Pork Chops,"Fresh, hand-cut, boneless chops seasoned and served with Peppercorn sauce. Served with your choice of two sides.",1,dinner,600,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/grilled-pork-chops.jpg,0,1,Texas Roadhouse
Beef Tips,"Cuts of steak with saut_ed mushrooms, onions, brown gravy and sour cream over seasoned rice or mashed potatoes. Served with your choice of one side.",1,dinner,1050,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/country-dinners/beef-tips.jpg,0,1,Texas Roadhouse
Grilled Shrimp,"Large shrimp seasoned, grilled, drizzled with garlic lemon pepper butter and served over seasoned rice. Served with your choice of two sides.",1,dinner,1060,14.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/dockside/grilled-shrimp-entree.jpg,0,1,Texas Roadhouse
Fried Catfish,"U.S. farm-raised catfish, lightly breaded in southern cornmeal, deep-fried, and served with Creole Mustard sauce. Served with your choice of two sides. ",1,dinner,790,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/dockside/fried-catfish.jpg,0,1,Texas Roadhouse
Grilled Salmon,"8 oz. Norwegian fillet salmon steak, grilled moist and tender and topped with our special lemon pepper butter. Served with your choice of two sides. Also available in a 5 oz. portion.",1,dinner,690,11.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/dockside/grilled-salmon.jpg,0,1,Texas Roadhouse
Bbq Chicken Sandwich,"Marinated and grilled, then basted with BBQ sauce. Served with lettuce, tomato and onion on a Texas-sized bun with steak fries and a pickle spear on the side.",1,sandwich,550,9.49,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/bbq-chicken-sandwich.jpg,0,1,Texas Roadhouse
Pulled Pork Sandwich,"Tender, slow-cooked pork covered in our signature BBQ sauce. Served on a toasted, Texas-sized bun with steak fries and a pickle spear on the side.",1,sandwich,770,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/pulled-pork-sandwich.jpg,0,1,Texas Roadhouse
Mushroom Jack Chicken Sandwich,"Grilled chicken breast, saut_ed mushrooms and melted jack cheese with lettuce, tomato and onion. Served on a toasted, Texas-sized bun with steak fries and a pickle spear on the side.",1,sandwich,660,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/mushroom-jack-chicken-sandwich.jpg,0,1,Texas Roadhouse
All-American Cheeseburger,"Our classic burger made from a 1/2 lb. of fresh ground chuck and topped with American cheese. Served on a toasted, Texas-sized bun with lettuce, tomato, and onion, along with steak fries and a pickle spear on the side.",1,burger,890,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/all-american-cheeseburger.jpg,0,1,Texas Roadhouse
Bacon Cheeseburger,"A 1/2 lb. of fresh ground chuck topped with bacon strips and American cheese. Served on a toasted, Texas-sized bun with lettuce, tomato, and onion. Served with steak fries and a pickle spear on the side.",1,burger,1020,9.49,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/bacon-cheeseburger.jpg,0,1,Texas Roadhouse
Smokehouse Burger,"A 1/2 lb. of fresh ground chuck topped with saut_ed mushrooms, onions and BBQ sauce over American and jack cheeses. Served on a toasted, Texas-sized bun with lettuce, tomato, and onion, along with steak fries and a pickle spear on the side.",1,burger,1090,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/burgers-and-sandwiches/smokehouse-burger.jpg,0,1,Texas Roadhouse
